"Endpoint","Method","Path","Role","Username","ExpectedAllowed","ActualAllowed","HttpStatus","ResponseCode","Note"
"DASHBOARD_WORKBENCH","GET","/api/dashboard/workbench","ADMIN","admin","True","True","200","20000","success"
"DASHBOARD_WORKBENCH","GET","/api/dashboard/workbench","EXECUTIVE","exec.demo","True","True","200","20000","success"
"DASHBOARD_WORKBENCH","GET","/api/dashboard/workbench","SECOPS","secops.demo","True","True","200","20000","success"
"DASHBOARD_WORKBENCH","GET","/api/dashboard/workbench","DATA_ADMIN","data.demo","True","True","200","20000","success"
"DASHBOARD_WORKBENCH","GET","/api/dashboard/workbench","AI_BUILDER","builder.demo","True","True","200","20000","success"
"DASHBOARD_WORKBENCH","GET","/api/dashboard/workbench","BUSINESS_OWNER","biz.demo","True","True","200","20000","success"
"DASHBOARD_WORKBENCH","GET","/api/dashboard/workbench","EMPLOYEE","employee.demo","True","True","200","20000","success"
"GLOBAL_SEARCH","GET","/api/search/global?keyword=test","ADMIN","admin","True","True","200","50000","
### Error querying database.  Cause: java.sql.SQLSyntaxErrorException: Unknown column 'process_instance_id' in 'field list'
### The error may exist in com/trustai/mapper/ApprovalRequestMapper.java (best guess)
### The error may involve defaultParameterMap
### The error occurred while setting parameters
### SQL: SELECT  id,applicant_id,asset_id,reason,status,approver_id,process_instance_id,task_id,create_time,update_time  FROM approval_request      WHERE  (reason LIKE ? OR status LIKE ?)
### Cause: java.sql.SQLSyntaxErrorException: Unknown column 'process_instance_id' in 'field list'
; bad SQL grammar []"
"GLOBAL_SEARCH","GET","/api/search/global?keyword=test","EXECUTIVE","exec.demo","True","True","200","50000","
### Error querying database.  Cause: java.sql.SQLSyntaxErrorException: Unknown column 'process_instance_id' in 'field list'
### The error may exist in com/trustai/mapper/ApprovalRequestMapper.java (best guess)
### The error may involve defaultParameterMap
### The error occurred while setting parameters
### SQL: SELECT  id,applicant_id,asset_id,reason,status,approver_id,process_instance_id,task_id,create_time,update_time  FROM approval_request      WHERE  (reason LIKE ? OR status LIKE ?)
### Cause: java.sql.SQLSyntaxErrorException: Unknown column 'process_instance_id' in 'field list'
; bad SQL grammar []"
"GLOBAL_SEARCH","GET","/api/search/global?keyword=test","SECOPS","secops.demo","True","True","200","50000","
### Error querying database.  Cause: java.sql.SQLSyntaxErrorException: Unknown column 'process_instance_id' in 'field list'
### The error may exist in com/trustai/mapper/ApprovalRequestMapper.java (best guess)
### The error may involve defaultParameterMap
### The error occurred while setting parameters
### SQL: SELECT  id,applicant_id,asset_id,reason,status,approver_id,process_instance_id,task_id,create_time,update_time  FROM approval_request      WHERE  (reason LIKE ? OR status LIKE ?)
### Cause: java.sql.SQLSyntaxErrorException: Unknown column 'process_instance_id' in 'field list'
; bad SQL grammar []"
"GLOBAL_SEARCH","GET","/api/search/global?keyword=test","DATA_ADMIN","data.demo","True","True","200","50000","
### Error querying database.  Cause: java.sql.SQLSyntaxErrorException: Unknown column 'process_instance_id' in 'field list'
### The error may exist in com/trustai/mapper/ApprovalRequestMapper.java (best guess)
### The error may involve defaultParameterMap
### The error occurred while setting parameters
### SQL: SELECT  id,applicant_id,asset_id,reason,status,approver_id,process_instance_id,task_id,create_time,update_time  FROM approval_request      WHERE  (reason LIKE ? OR status LIKE ?)
### Cause: java.sql.SQLSyntaxErrorException: Unknown column 'process_instance_id' in 'field list'
; bad SQL grammar []"
"GLOBAL_SEARCH","GET","/api/search/global?keyword=test","AI_BUILDER","builder.demo","True","True","200","50000","
### Error querying database.  Cause: java.sql.SQLSyntaxErrorException: Unknown column 'process_instance_id' in 'field list'
### The error may exist in com/trustai/mapper/ApprovalRequestMapper.java (best guess)
### The error may involve defaultParameterMap
### The error occurred while setting parameters
### SQL: SELECT  id,applicant_id,asset_id,reason,status,approver_id,process_instance_id,task_id,create_time,update_time  FROM approval_request      WHERE  (reason LIKE ? OR status LIKE ?)
### Cause: java.sql.SQLSyntaxErrorException: Unknown column 'process_instance_id' in 'field list'
; bad SQL grammar []"
"GLOBAL_SEARCH","GET","/api/search/global?keyword=test","BUSINESS_OWNER","biz.demo","True","True","200","50000","
### Error querying database.  Cause: java.sql.SQLSyntaxErrorException: Unknown column 'process_instance_id' in 'field list'
### The error may exist in com/trustai/mapper/ApprovalRequestMapper.java (best guess)
### The error may involve defaultParameterMap
### The error occurred while setting parameters
### SQL: SELECT  id,applicant_id,asset_id,reason,status,approver_id,process_instance_id,task_id,create_time,update_time  FROM approval_request      WHERE  (reason LIKE ? OR status LIKE ?)
### Cause: java.sql.SQLSyntaxErrorException: Unknown column 'process_instance_id' in 'field list'
; bad SQL grammar []"
"GLOBAL_SEARCH","GET","/api/search/global?keyword=test","EMPLOYEE","employee.demo","True","True","200","50000","
### Error querying database.  Cause: java.sql.SQLSyntaxErrorException: Unknown column 'process_instance_id' in 'field list'
### The error may exist in com/trustai/mapper/ApprovalRequestMapper.java (best guess)
### The error may involve defaultParameterMap
### The error occurred while setting parameters
### SQL: SELECT  id,applicant_id,asset_id,reason,status,approver_id,process_instance_id,task_id,create_time,update_time  FROM approval_request      WHERE  (reason LIKE ? OR status LIKE ? AND applicant_id = ?)
### Cause: java.sql.SQLSyntaxErrorException: Unknown column 'process_instance_id' in 'field list'
; bad SQL grammar []"
"AI_ADVERSARIAL_META","GET","/api/ai/adversarial/meta","ADMIN","admin","True","True","200","50000","Connection refused executing GET http://ai-inference:5000/api/adversarial/meta"
"AI_ADVERSARIAL_META","GET","/api/ai/adversarial/meta","EXECUTIVE","exec.demo","False","False","200","40300","æ æé"
